ime,spol,leto_rojstva,leto_smrti,nominacija,oskar,stevilo,prvi_film
Barkhad Abdi,M,1985,~,Glavna,False,0,Captain Phillips
Barkhad Abdi,M,1985,~,Glavna,True,0,Captain Phillips
Barkhad Abdi,M,1985,~,Stranska,False,1,Captain Phillips
Barkhad Abdi,M,1985,~,Stranska,True,0,Captain Phillips
F. Murray Abraham,M,1939,~,Glavna,False,0,Amadeus
F. Murray Abraham,M,1939,~,Glavna,True,1,Amadeus
F. Murray Abraham,M,1939,~,Stranska,False,0,Amadeus
F. Murray Abraham,M,1939,~,Stranska,True,0,Amadeus
Amy Adams,F,1974,~,Glavna,False,1,Junebug
Amy Adams,F,1974,~,Glavna,True,0,Junebug
Amy Adams,F,1974,~,Stranska,False,5,Junebug
Amy Adams,F,1974,~,Stranska,True,0,Junebug
Nick Adams,M,1931,1968,Glavna,False,0,Twilight of Honor
Nick Adams,M,1931,1968,Glavna,True,0,Twilight of Honor
Nick Adams,M,1931,1968,Stranska,False,1,Twilight of Honor
Nick Adams,M,1931,1968,Stranska,True,0,Twilight of Honor
Isabelle Adjani,F,1955,~,Glavna,False,2,"Story of Adele H., The"
Isabelle Adjani,F,1955,~,Glavna,True,0,"Story of Adele H., The"
Isabelle Adjani,F,1955,~,Stranska,False,0,"Story of Adele H., The"
Isabelle Adjani,F,1955,~,Stranska,True,0,"Story of Adele H., The"
Casey Affleck,M,1975,~,Glavna,False,0,Manchester by the Sea
Casey Affleck,M,1975,~,Glavna,True,1,Manchester by the Sea
Casey Affleck,M,1975,~,Stranska,False,1,Manchester by the Sea
Casey Affleck,M,1975,~,Stranska,True,0,Manchester by the Sea
Shohreh Aghdashloo,F,1952,~,Glavna,False,0,House of Sand and Fog
Shohreh Aghdashloo,F,1952,~,Glavna,True,0,House of Sand and Fog
Shohreh Aghdashloo,F,1952,~,Stranska,False,1,House of Sand and Fog
Shohreh Aghdashloo,F,1952,~,Stranska,True,0,House of Sand and Fog
Brian Aherne,M,1902,1986,Glavna,False,0,Juarez
Brian Aherne,M,1902,1986,Glavna,True,0,Juarez
Brian Aherne,M,1902,1986,Stranska,False,1,Juarez
Brian Aherne,M,1902,1986,Stranska,True,0,Juarez
Riz Ahmed,M,1982,~,Glavna,False,1,Sound of Metal
Riz Ahmed,M,1982,~,Glavna,True,0,Sound of Metal
Riz Ahmed,M,1982,~,Stranska,False,0,Sound of Metal
Riz Ahmed,M,1982,~,Stranska,True,0,Sound of Metal
Danny Aiello,M,1933,2019,Glavna,False,0,Do the Right Thing
Danny Aiello,M,1933,2019,Glavna,True,0,Do the Right Thing
Danny Aiello,M,1933,2019,Stranska,False,1,Do the Right Thing
Danny Aiello,M,1933,2019,Stranska,True,0,Do the Right Thing
Anouk Aimée,F,1932,2024,Glavna,False,1,"Man and a Woman, A"
Anouk Aimée,F,1932,2024,Glavna,True,0,"Man and a Woman, A"
Anouk Aimée,F,1932,2024,Stranska,False,0,"Man and a Woman, A"
Anouk Aimée,F,1932,2024,Stranska,True,0,"Man and a Woman, A"
Eddie Albert,M,1906,2005,Glavna,False,0,Roman Holiday
Eddie Albert,M,1906,2005,Glavna,True,0,Roman Holiday
Eddie Albert,M,1906,2005,Stranska,False,2,Roman Holiday
Eddie Albert,M,1906,2005,Stranska,True,0,Roman Holiday
Jack Albertson,M,1907,1981,Glavna,False,0,"Subject Was Roses, The"
Jack Albertson,M,1907,1981,Glavna,True,0,"Subject Was Roses, The"
Jack Albertson,M,1907,1981,Stranska,False,0,"Subject Was Roses, The"
Jack Albertson,M,1907,1981,Stranska,True,1,"Subject Was Roses, The"
Alan Alda,M,1936,~,Glavna,False,0,"Aviator, The"
Alan Alda,M,1936,~,Glavna,True,0,"Aviator, The"
Alan Alda,M,1936,~,Stranska,False,1,"Aviator, The"
Alan Alda,M,1936,~,Stranska,True,0,"Aviator, The"
Norma Aleandro,F,1936,~,Glavna,False,0,Gaby: A True Story
Norma Aleandro,F,1936,~,Glavna,True,0,Gaby: A True Story
Norma Aleandro,F,1936,~,Stranska,False,1,Gaby: A True Story
Norma Aleandro,F,1936,~,Stranska,True,0,Gaby: A True Story
Jane Alexander,F,1939,~,Glavna,False,2,"Great White Hope, The"
Jane Alexander,F,1939,~,Glavna,True,0,"Great White Hope, The"
Jane Alexander,F,1939,~,Stranska,False,2,"Great White Hope, The"
Jane Alexander,F,1939,~,Stranska,True,0,"Great White Hope, The"
Mahershala Ali,M,1974,~,Glavna,False,0,Moonlight [w 1]
Mahershala Ali,M,1974,~,Glavna,True,0,Moonlight [w 1]
Mahershala Ali,M,1974,~,Stranska,False,0,Moonlight [w 1]
Mahershala Ali,M,1974,~,Stranska,True,2,Moonlight [w 1]
Joan Allen,F,1956,~,Glavna,False,1,"Contender, The"
Joan Allen,F,1956,~,Glavna,True,0,"Contender, The"
Joan Allen,F,1956,~,Stranska,False,2,"Contender, The"
Joan Allen,F,1956,~,Stranska,True,0,"Contender, The"
Woody Allen,M,1935,~,Glavna,False,1,Annie Hall
Woody Allen,M,1935,~,Glavna,True,0,Annie Hall
Woody Allen,M,1935,~,Stranska,False,0,Annie Hall
Woody Allen,M,1935,~,Stranska,True,0,Annie Hall
Sara Allgood,F,1880,1950,Glavna,False,0,How Green Was My Valley
Sara Allgood,F,1880,1950,Glavna,True,0,How Green Was My Valley
Sara Allgood,F,1880,1950,Stranska,False,1,How Green Was My Valley
Sara Allgood,F,1880,1950,Stranska,True,0,How Green Was My Valley
Don Ameche,M,1908,1993,Glavna,False,0,Cocoon
Don Ameche,M,1908,1993,Glavna,True,0,Cocoon
Don Ameche,M,1908,1993,Stranska,False,0,Cocoon
Don Ameche,M,1908,1993,Stranska,True,1,Cocoon
Judith Anderson,F,1897,1992,Glavna,False,0,Rebecca
Judith Anderson,F,1897,1992,Glavna,True,0,Rebecca
Judith Anderson,F,1897,1992,Stranska,False,1,Rebecca
Judith Anderson,F,1897,1992,Stranska,True,0,Rebecca
Julie Andrews,F,1935,~,Glavna,False,2,Mary Poppins
Julie Andrews,F,1935,~,Glavna,True,1,Mary Poppins
Julie Andrews,F,1935,~,Stranska,False,0,Mary Poppins
Julie Andrews,F,1935,~,Stranska,True,0,Mary Poppins
Ann-Margret,F,1941,~,Glavna,False,1,Tommy
Ann-Margret,F,1941,~,Glavna,True,0,Tommy
