"t","napoved"
1,1973.25618784229
2,1971.59635729176
3,1969.94017503273
4,1968.28764106522
5,1966.63875538922
6,1964.99351800473
7,1963.35192891175
8,1961.71398811029
9,1960.07969560033
10,1958.44905138189
11,1956.82205545496
12,1955.19870781954
13,1953.57900847564
14,1951.96295742324
15,1950.35055466236
16,1948.74180019298
17,1947.13669401512
18,1945.53523612877
19,1943.93742653394
20,1942.34326523061
21,1940.75275221879
22,1939.16588749849
23,1937.5826710697
24,1936.00310293242
25,1934.42718308665
26,1932.8549115324
27,1931.28628826965
28,1929.72131329842
29,1928.1599866187
30,1926.60230823049
31,1925.04827813379
32,1923.49789632861
33,1921.95116281493
34,1920.40807759277
35,1918.86864066212
36,1917.33285202298
37,1915.80071167535
38,1914.27221961923
39,1912.74737585463
40,1911.22618038153
41,1909.70863319995
42,1908.19473430988
43,1906.68448371132
44,1905.17788140428
45,1903.67492738874
46,1902.17562166472
47,1900.67996423221
48,1899.18795509121
49,1897.69959424172
50,1896.21488168374
51,1894.73381741728
52,1893.25640144232
53,1891.78263375888
54,1890.31251436695
55,1888.84604326653
56,1887.38322045762
57,1885.92404594023
58,1884.46851971434
59,1883.01664177997
60,1881.56841213711
61,1880.12383078576
62,1878.68289772593
63,1877.2456129576
64,1875.81197648079
65,1874.38198829548
66,1872.95564840169
67,1871.53295679941
68,1870.11391348865
69,1868.69851846939
70,1867.28677174165
71,1865.87867330541
72,1864.47422316069
73,1863.07342130748
74,1861.67626774579
75,1860.2827624756
76,1858.89290549693
77,1857.50669680976
78,1856.12413641411
79,1854.74522430997
80,1853.36996049735
81,1851.99834497623
82,1850.63037774662
83,1849.26605880853
84,1847.90538816195
85,1846.54836580688
86,1845.19499174332
87,1843.84526597128
88,1842.49918849074
89,1841.15675930172
90,1839.81797840421
91,1838.48284579821
92,1837.15136148372
93,1835.82352546074
94,1834.49933772928
95,1833.17879828932
96,1831.86190714088
97,1830.54866428395
98,1829.23906971854
99,1827.93312344463
100,1826.63082546223
101,1825.33217577135
102,1824.03717437198
103,1822.74582126412
104,1821.45811644777
105,1820.17405992293
106,1818.89365168961
